WORD,YEAR,N,GENDER,TOTAL_PRINTS
duke,1777,0,m,105
duke,1778,0,m,108
duke,1779,0,m,108
duke,1780,2,m,253
duke,1781,0,m,173
duke,1782,0,m,221
duke,1783,0,m,254
duke,1784,2,m,420
duke,1785,0,m,163
duke,1786,0,m,238
duke,1787,0,m,132
duke,1788,1,m,261
duke,1789,1,m,165
duke,1790,0,m,199
duke,1791,1,m,262
duke,1792,2,m,239
duke,1793,0,m,170
duke,1794,1,m,229
duke,1795,0,m,261
duke,1796,1,m,255
duke,1797,1,m,220
duke,1798,0,m,244
duke,1799,1,m,188
duke,1800,0,m,233
duke,1801,1,m,170
duke,1802,1,m,147
duke,1803,0,m,308
duke,1804,1,m,190
duke,1805,0,m,218
duke,1806,0,m,226
duke,1807,0,m,246
duke,1808,1,m,297
duke,1809,1,m,297
duke,1810,0,m,202
duke,1811,0,m,158
duke,1812,0,m,174
duke,1813,0,m,230
duke,1814,0,m,276
duke,1815,1,m,262
duke,1816,0,m,134
duke,1817,0,m,131
duke,1818,0,m,228
duke,1819,1,m,309
duke,1820,1,m,691
duke,1821,0,m,286
duke,1822,0,m,170
duke,1823,2,m,162
duke,1824,0,m,176
duke,1825,0,m,230
duke,1826,0,m,174
duke,1827,0,m,190
duke,1828,2,m,215
duke,1829,1,m,461
husband,1770,0,m,164
husband,1771,6,m,178
husband,1772,2,m,312
husband,1773,6,m,249
husband,1774,1,m,121
husband,1775,4,m,95
husband,1776,2,m,96
husband,1777,9,m,105
husband,1778,1,m,108
husband,1779,1,m,108
husband,1780,4,m,253
husband,1781,3,m,173
husband,1782,4,m,221
husband,1783,4,m,254
husband,1784,2,m,420
husband,1785,3,m,163
husband,1786,1,m,238
husband,1787,2,m,132
husband,1788,2,m,261
husband,1789,3,m,165
husband,1790,2,m,199
husband,1791,5,m,262
husband,1792,3,m,239
husband,1793,1,m,170
husband,1794,5,m,229
husband,1795,4,m,261
husband,1796,6,m,255
husband,1797,4,m,220
husband,1798,4,m,244
husband,1799,3,m,188
husband,1800,9,m,233
husband,1801,2,m,170
husband,1802,2,m,147
husband,1803,1,m,308
husband,1804,4,m,190
husband,1805,2,m,218
husband,1806,0,m,226
husband,1807,7,m,246
husband,1808,12,m,297
husband,1809,2,m,297
husband,1810,5,m,202
husband,1811,3,m,158
husband,1812,12,m,174
husband,1813,18,m,230
husband,1814,8,m,276
husband,1815,5,m,262
husband,1816,10,m,134
husband,1817,2,m,131
husband,1818,7,m,228
husband,1819,4,m,309
husband,1820,9,m,691
husband,1821,9,m,286
husband,1822,4,m,170
husband,1823,2,m,162
husband,1824,4,m,176
husband,1825,12,m,230
husband,1826,6,m,174
husband,1827,3,m,190
husband,1828,3,m,215
husband,1829,2,m,461
lord,1770,0,m,164
lord,1771,1,m,178
lord,1772,0,m,312
lord,1773,1,m,249
lord,1774,0,m,121
lord,1775,0,m,95
lord,1776,0,m,96
lord,1777,0,m,105
lord,1778,0,m,108
lord,1779,0,m,108
lord,1780,5,m,253
lord,1781,0,m,173
